code_plan,operator,message
GE09,INS-01,-GriffinWharf may be blocked
GE09,INS-01,- Flighting of triains is preferable to ensure as many trains through the sections as possible.
GE09,INS-02,Colchester Ð Manningtree: 
GE09,INS-02,Pilotman 
GE09,INS-02,Handsignaller 
GE09,INS-02,Barrier Operator for Ardleigh CCTV 
GE09,INS-02,Barrier Operator for Manningtree CCTV (if SLW over the Down Main)
GE09,INS-02,
GE09,INS-02,Manningtree Ð Halifax Jn: 
GE09,INS-02,Pilotman 
GE09,INS-02,Handsignaller
GE09,INS-03,"Points at Colchester: 3025, 3029, 3034"
GE09,INS-03,"Points at Manningtree: 1247, 1253, 1261, 1262"
GE09,INS-03,"Points at Halifax Jn: 1301, 130"
GE09,INS-04,-CSL2 mobilised for North via on-call structure
GE09,INS-04,-Request Driver Manager to Colchester via On-Call Operations L1 North
GE09,INS-04,-Advise Liverpool Street Duty Station Manager
GE09,INS-04,-Request RPI assistance to aid transfer of passengers to Harwich shuttle;
GE09,INS-04,"-Advise contingency plan on traincrew information monitors (TIM) in the following traincrew depots: Liverpool Street, Colchester, Clacton, Ipswich"
GE09,INS-04,and Norwich
GE09,INS-05,-Advance Purchase Ticket holders may travel up to 60 minutes earlier/later than their booked train (Intercity services between London and
GE09,INS-05,Norwich).
GE09,INS-05,-Peak: Special service to operate COL-LST calling at all stations to CHM and then SNF and SRA in place of 1Yxx services.
GE09,INS-05,-Off-Peak: None Ð train service operates as revised.
GE09,INS-06,"Owing to a {xxx} between Colchester and Manningtree/Ipswich and Manningtree , trains between Colchester and Ipswich are experiencing 20 minute delays and an amended train service is in place"
GE09,INS-07,Contingency Plan GE9 is in operation/ being implemented with no/ the following variations.
GE09,INS-08,Greater Anglia Service Update at xx:xx
GE09,INS-08,"Owing to a xxx between Colchester and Manningtree/Ipswich and Manningtree ,1 of the lines Colchester-bound/Ipswich-bound is currently closed."
GE09,INS-08,We expect the line to reopen at xxx / the line is currently closed and we are working to assess the problem / The line has now reopened and we
GE09,INS-08,are working to return train services to normal
GE09,INS-08,In order to manage the reduced line capacity to/from Colchester and Ipswich we are currently running a reduced train service and expect this to
GE09,INS-08,continue until approximately xx:xx
GE09,INS-08,"London Ð Harwich, Ipswich and Norwich:"
GE09,INS-08,Services which would normally run between London and Harwich are running between Maningtree and Harwich in both directions. Customers wishing to travel to/from these stations should change at Manningtree. Services which would normally run between London and Colchester Town are suspended Customers wishing to travel to/from Colchester Town are advised to use local buses to Colchester.
GE09,INS-08,
GE09,INS-08,All other Greater Anglia Routes: There is currently a good service running on all other routes.
GE10,INS-01,Consider extending services through to Manningtree / ECS to Mistley and return for PM peak & Off peak also where possible.
